note_str,pitch
keyboard_electronic_061-080-075,80
keyboard_electronic_026-068-050,68
keyboard_electronic_000-052-025,52
keyboard_acoustic_010-028-075,28
keyboard_electronic_052-080-127,80
keyboard_electronic_095-028-100,28
keyboard_electronic_086-044-127,44
keyboard_acoustic_006-077-100,77
keyboard_acoustic_009-036-075,36
keyboard_electronic_027-070-100,70
keyboard_electronic_077-082-075,82
keyboard_electronic_080-038-025,38
keyboard_electronic_047-045-050,45
keyboard_electronic_004-024-075,24
keyboard_electronic_031-026-025,26
keyboard_electronic_029-022-025,22
keyboard_electronic_023-067-075,67
keyboard_electronic_006-035-100,35
keyboard_synthetic_006-043-025,43
keyboard_acoustic_013-040-025,40
keyboard_electronic_099-034-050,34
keyboard_electronic_014-025-050,25
keyboard_electronic_105-088-050,88
keyboard_electronic_028-080-050,80
keyboard_electronic_028-062-075,62
keyboard_electronic_007-034-025,34
keyboard_electronic_034-091-025,91
keyboard_electronic_094-062-100,62
keyboard_electronic_102-070-127,70
keyboard_electronic_048-079-025,79
keyboard_acoustic_006-078-050,78
keyboard_electronic_102-039-100,39
keyboard_electronic_061-081-025,81
keyboard_electronic_077-032-075,32
keyboard_electronic_073-028-025,28
keyboard_electronic_007-071-075,71
keyboard_electronic_005-067-075,67
keyboard_electronic_084-053-025,53
keyboard_synthetic_004-073-075,73
keyboard_electronic_048-065-127,65
keyboard_electronic_034-067-127,67
keyboard_electronic_037-037-075,37
keyboard_electronic_026-050-075,50
keyboard_electronic_090-039-100,39
keyboard_electronic_042-034-127,34
keyboard_electronic_082-036-025,36
keyboard_electronic_032-084-075,84
keyboard_electronic_005-031-127,31
keyboard_acoustic_018-046-100,46
keyboard_electronic_066-065-075,65
keyboard_acoustic_017-090-100,90
keyboard_electronic_075-050-025,50
keyboard_electronic_062-031-075,31
keyboard_electronic_017-087-050,87
keyboard_electronic_052-095-127,95
keyboard_electronic_084-065-050,65
keyboard_electronic_022-093-127,93
keyboard_electronic_028-071-075,71
keyboard_electronic_026-047-127,47
keyboard_electronic_089-100-025,100
keyboard_electronic_012-107-050,107
keyboard_electronic_093-032-025,32
keyboard_electronic_008-049-050,49
keyboard_electronic_015-074-127,74
keyboard_electronic_009-072-025,72
keyboard_electronic_074-049-127,49
keyboard_acoustic_017-043-100,43
keyboard_electronic_048-083-127,83
keyboard_electronic_004-025-100,25
keyboard_electronic_022-079-025,79
keyboard_electronic_071-068-075,68
keyboard_electronic_097-066-127,66
keyboard_electronic_029-088-127,88
keyboard_electronic_100-075-127,75
keyboard_acoustic_002-028-100,28
keyboard_electronic_039-064-025,64
keyboard_acoustic_013-033-127,33
keyboard_acoustic_012-042-127,42
keyboard_electronic_046-040-025,40
keyboard_electronic_070-046-075,46
keyboard_electronic_026-075-050,75
keyboard_acoustic_014-067-100,67
keyboard_electronic_007-066-100,66
keyboard_synthetic_010-047-050,47
keyboard_electronic_006-079-075,79
keyboard_electronic_082-078-127,78
keyboard_electronic_093-025-025,25
keyboard_electronic_017-032-127,32
keyboard_electronic_079-052-100,52
keyboard_electronic_019-031-050,31
keyboard_synthetic_011-048-050,48
keyboard_electronic_088-081-127,81
keyboard_electronic_023-076-100,76
keyboard_synthetic_006-030-100,30
keyboard_electronic_028-056-050,56
keyboard_acoustic_007-087-100,87
keyboard_electronic_026-076-050,76
keyboard_electronic_073-077-050,77
keyboard_electronic_074-065-050,65
keyboard_electronic_004-057-075,57
keyboard_synthetic_012-066-127,66
keyboard_electronic_048-088-075,88
keyboard_electronic_050-068-100,68
keyboard_electronic_039-028-025,28
keyboard_electronic_080-091-100,91
keyboard_synthetic_009-043-075,43
keyboard_electronic_029-079-075,79
keyboard_electronic_039-071-100,71
keyboard_electronic_024-064-075,64
keyboard_electronic_010-088-025,88
keyboard_electronic_034-084-050,84
keyboard_electronic_013-100-100,100
keyboard_electronic_073-049-075,49
keyboard_synthetic_008-044-127,44
keyboard_electronic_080-083-100,83
keyboard_acoustic_011-039-050,39
keyboard_electronic_046-033-127,33
keyboard_electronic_075-083-127,83
keyboard_electronic_017-038-025,38
keyboard_electronic_007-069-050,69
keyboard_electronic_068-064-075,64
keyboard_electronic_006-047-050,47
keyboard_electronic_050-095-100,95
keyboard_acoustic_008-061-050,61
keyboard_electronic_060-038-075,38
keyboard_electronic_073-056-025,56
keyboard_electronic_050-107-075,107
keyboard_electronic_082-076-025,76
keyboard_electronic_020-075-050,75
keyboard_electronic_061-060-050,60
keyboard_electronic_020-057-075,57
keyboard_electronic_050-041-075,41
keyboard_electronic_029-041-100,41
keyboard_electronic_040-056-100,56
keyboard_electronic_107-068-050,68
keyboard_electronic_040-071-100,71
keyboard_electronic_023-025-050,25
keyboard_electronic_034-075-025,75
keyboard_electronic_082-090-025,90
keyboard_acoustic_000-025-075,25
keyboard_electronic_063-058-025,58
keyboard_synthetic_011-073-075,73
keyboard_electronic_022-050-025,50
keyboard_electronic_086-075-127,75
keyboard_acoustic_010-037-050,37
keyboard_acoustic_010-059-075,59
keyboard_electronic_055-063-050,63
keyboard_electronic_066-032-075,32
keyboard_electronic_085-075-025,75
keyboard_electronic_050-063-050,63
keyboard_electronic_012-052-050,52
keyboard_electronic_029-063-127,63
keyboard_electronic_073-047-127,47
keyboard_electronic_017-033-127,33
keyboard_electronic_024-035-100,35
keyboard_acoustic_018-045-127,45
keyboard_electronic_046-070-100,70
keyboard_electronic_075-041-075,41
keyboard_acoustic_011-061-100,61
keyboard_electronic_088-049-075,49
keyboard_electronic_094-060-127,60
keyboard_electronic_077-049-050,49
keyboard_electronic_028-047-075,47
keyboard_synthetic_001-059-050,59
keyboard_electronic_030-056-100,56
keyboard_electronic_025-055-050,55
keyboard_electronic_048-044-025,44
keyboard_electronic_105-067-025,67
keyboard_electronic_047-081-075,81
keyboard_electronic_070-070-127,70
keyboard_acoustic_011-064-025,64
keyboard_electronic_081-028-127,28
keyboard_electronic_083-039-075,39
keyboard_electronic_104-057-100,57
keyboard_electronic_044-037-025,37
keyboard_electronic_047-095-025,95
keyboard_electronic_043-084-050,84
keyboard_electronic_013-051-100,51
keyboard_electronic_022-043-025,43
keyboard_electronic_088-046-100,46
keyboard_electronic_109-045-075,45
keyboard_electronic_061-073-100,73
keyboard_acoustic_001-078-100,78
keyboard_electronic_070-057-050,57
keyboard_electronic_073-042-127,42
keyboard_electronic_082-084-050,84
keyboard_electronic_058-081-075,81
keyboard_electronic_049-073-050,73
keyboard_electronic_018-023-025,23
keyboard_electronic_034-047-050,47
keyboard_acoustic_019-065-075,65
keyboard_electronic_018-074-050,74
keyboard_acoustic_017-071-100,71
keyboard_electronic_090-078-025,78
keyboard_electronic_070-066-100,66
keyboard_acoustic_005-070-025,70
keyboard_electronic_081-041-075,41
keyboard_electronic_028-103-050,103
keyboard_electronic_027-042-100,42
keyboard_electronic_107-067-100,67
keyboard_electronic_056-053-075,53
keyboard_electronic_105-078-075,78
keyboard_electronic_010-055-075,55
keyboard_electronic_025-069-075,69
keyboard_acoustic_011-045-025,45
keyboard_electronic_068-036-127,36
keyboard_synthetic_008-057-100,57
keyboard_electronic_067-068-050,68
keyboard_synthetic_008-064-025,64
keyboard_synthetic_008-059-100,59
keyboard_electronic_045-056-050,56
keyboard_synthetic_008-080-050,80
keyboard_electronic_100-064-075,64
keyboard_electronic_064-077-127,77
keyboard_electronic_057-091-025,91
keyboard_acoustic_007-053-075,53
keyboard_electronic_034-095-075,95
keyboard_electronic_011-029-050,29
keyboard_electronic_081-070-075,70
keyboard_electronic_046-053-075,53
keyboard_electronic_081-056-050,56
keyboard_electronic_048-029-050,29
keyboard_electronic_027-063-025,63
keyboard_electronic_088-039-127,39
keyboard_electronic_004-100-050,100
keyboard_electronic_010-074-050,74
keyboard_electronic_050-107-127,107
keyboard_electronic_035-064-100,64
keyboard_electronic_065-024-050,24
keyboard_electronic_029-074-100,74
keyboard_electronic_014-080-050,80
keyboard_electronic_031-078-100,78
keyboard_electronic_054-053-100,53
keyboard_electronic_032-033-075,33
keyboard_electronic_008-067-127,67
keyboard_electronic_052-053-025,53
keyboard_synthetic_003-051-127,51
keyboard_synthetic_006-042-075,42
keyboard_electronic_096-024-050,24
keyboard_electronic_046-060-025,60
keyboard_electronic_102-065-025,65
keyboard_electronic_074-044-050,44
keyboard_electronic_017-048-050,48
keyboard_electronic_023-057-025,57
keyboard_electronic_027-037-050,37
keyboard_acoustic_012-095-025,95
keyboard_electronic_028-100-025,100
keyboard_electronic_109-044-100,44
keyboard_electronic_109-064-127,64
keyboard_electronic_087-063-050,63
keyboard_electronic_091-082-127,82
keyboard_electronic_054-057-100,57
keyboard_electronic_007-040-075,40
keyboard_electronic_060-074-100,74
keyboard_electronic_052-074-075,74
keyboard_electronic_039-065-100,65
keyboard_electronic_046-041-100,41
keyboard_acoustic_003-022-075,22
keyboard_electronic_018-056-127,56
keyboard_acoustic_000-047-127,47
keyboard_electronic_072-048-127,48
keyboard_electronic_062-076-025,76
keyboard_synthetic_007-041-050,41
keyboard_electronic_028-037-075,37
keyboard_electronic_013-071-127,71
keyboard_electronic_054-077-050,77
keyboard_electronic_054-056-025,56
keyboard_electronic_043-043-100,43
keyboard_electronic_073-031-025,31
keyboard_acoustic_008-088-100,88
keyboard_electronic_055-021-100,21
keyboard_electronic_010-066-025,66
keyboard_electronic_013-080-100,80
keyboard_electronic_067-030-050,30
keyboard_electronic_035-059-025,59
keyboard_electronic_102-040-100,40
keyboard_electronic_095-107-050,107
keyboard_acoustic_008-045-127,45
keyboard_electronic_056-060-050,60
keyboard_synthetic_008-042-127,42
keyboard_electronic_056-031-025,31
keyboard_acoustic_012-070-100,70
keyboard_electronic_042-045-100,45
keyboard_electronic_023-056-050,56
keyboard_acoustic_013-077-025,77
keyboard_electronic_077-050-127,50
keyboard_electronic_055-077-075,77
keyboard_electronic_057-067-050,67
keyboard_electronic_101-066-100,66
keyboard_electronic_088-053-100,53
keyboard_electronic_095-073-025,73
keyboard_electronic_004-052-075,52
keyboard_electronic_019-100-127,100
keyboard_electronic_060-107-127,107
keyboard_synthetic_003-030-075,30
keyboard_electronic_064-061-025,61
keyboard_electronic_027-047-100,47
keyboard_electronic_014-063-025,63
keyboard_electronic_100-071-050,71
keyboard_electronic_030-083-100,83
keyboard_electronic_101-043-050,43
keyboard_electronic_019-028-075,28
keyboard_electronic_056-042-050,42
keyboard_electronic_093-040-127,40
keyboard_electronic_094-090-050,90
keyboard_acoustic_003-051-025,51
keyboard_electronic_063-024-100,24
keyboard_electronic_055-034-100,34
keyboard_electronic_084-061-025,61
keyboard_electronic_015-103-100,103
keyboard_electronic_007-062-127,62
keyboard_acoustic_012-055-025,55
keyboard_electronic_045-044-100,44
keyboard_acoustic_016-098-025,98
keyboard_electronic_068-076-025,76
keyboard_electronic_016-025-025,25
keyboard_electronic_011-071-100,71
keyboard_electronic_063-059-100,59
keyboard_electronic_031-028-025,28
keyboard_electronic_072-063-127,63
keyboard_electronic_097-050-127,50
keyboard_electronic_032-027-050,27
keyboard_electronic_009-032-025,32
keyboard_electronic_086-061-127,61
keyboard_synthetic_011-059-050,59
keyboard_electronic_055-071-100,71
keyboard_electronic_064-045-127,45
keyboard_electronic_080-070-050,70
keyboard_electronic_084-062-050,62
keyboard_electronic_097-084-100,84
keyboard_electronic_070-048-025,48
keyboard_electronic_071-052-050,52
keyboard_electronic_042-063-127,63
keyboard_electronic_071-053-127,53
keyboard_electronic_071-060-025,60
keyboard_electronic_075-050-127,50
keyboard_electronic_039-100-050,100
keyboard_electronic_007-080-050,80
keyboard_acoustic_000-055-025,55
keyboard_electronic_086-061-075,61
keyboard_electronic_005-057-075,57
keyboard_electronic_063-081-025,81
keyboard_electronic_070-090-075,90
keyboard_electronic_043-053-100,53
keyboard_electronic_096-037-025,37
keyboard_acoustic_013-023-050,23
keyboard_electronic_063-060-050,60
keyboard_electronic_070-080-127,80
keyboard_electronic_091-040-025,40
keyboard_electronic_037-060-100,60
keyboard_acoustic_003-107-100,107
keyboard_acoustic_008-054-127,54
keyboard_electronic_089-040-100,40
keyboard_electronic_008-046-100,46
keyboard_electronic_058-039-075,39
keyboard_electronic_064-027-050,27
keyboard_electronic_063-074-025,74
keyboard_electronic_004-059-025,59
keyboard_electronic_052-058-075,58
keyboard_electronic_084-066-050,66
keyboard_electronic_090-065-100,65
keyboard_electronic_086-093-075,93
keyboard_electronic_014-076-025,76
keyboard_electronic_047-076-075,76
keyboard_electronic_008-080-075,80
keyboard_electronic_107-056-075,56
keyboard_electronic_062-064-025,64
keyboard_electronic_023-047-100,47
keyboard_synthetic_008-052-100,52
keyboard_electronic_102-062-075,62
keyboard_electronic_064-093-075,93
keyboard_electronic_046-069-100,69
keyboard_acoustic_001-042-100,42
keyboard_electronic_091-055-100,55
keyboard_electronic_058-071-100,71
keyboard_acoustic_003-045-100,45
keyboard_electronic_009-063-050,63
keyboard_electronic_046-046-075,46
keyboard_electronic_072-032-075,32
keyboard_electronic_060-056-025,56
keyboard_electronic_065-068-127,68
keyboard_electronic_050-090-075,90
keyboard_electronic_035-071-100,71
keyboard_synthetic_001-077-050,77
keyboard_electronic_079-028-050,28
keyboard_electronic_004-021-127,21
keyboard_acoustic_008-082-050,82
keyboard_acoustic_000-067-050,67
keyboard_electronic_046-023-025,23
keyboard_electronic_011-082-025,82
keyboard_electronic_011-024-050,24
keyboard_electronic_095-046-025,46
keyboard_electronic_088-066-100,66
keyboard_electronic_044-057-075,57
keyboard_electronic_075-052-050,52
keyboard_acoustic_005-078-127,78
keyboard_electronic_106-081-100,81
keyboard_electronic_106-064-050,64
keyboard_electronic_076-066-100,66
keyboard_electronic_077-034-127,34
keyboard_electronic_106-061-050,61
keyboard_electronic_036-040-050,40
keyboard_electronic_061-048-127,48
keyboard_electronic_015-040-050,40
keyboard_synthetic_009-051-127,51
keyboard_electronic_022-083-025,83
keyboard_acoustic_013-088-127,88
keyboard_electronic_047-107-075,107
keyboard_acoustic_000-090-075,90
keyboard_synthetic_006-087-050,87
keyboard_electronic_093-067-127,67
keyboard_electronic_089-083-050,83
keyboard_electronic_090-025-025,25
keyboard_electronic_031-090-025,90
keyboard_acoustic_016-074-127,74
keyboard_electronic_010-066-127,66
keyboard_electronic_050-070-025,70
keyboard_acoustic_014-028-025,28
keyboard_electronic_029-025-100,25
keyboard_electronic_022-030-050,30
keyboard_acoustic_016-033-025,33
keyboard_electronic_010-021-025,21
keyboard_electronic_079-045-050,45
keyboard_electronic_037-064-050,64
keyboard_electronic_041-084-075,84
keyboard_electronic_058-088-127,88
keyboard_electronic_061-075-050,75
keyboard_electronic_093-051-025,51
keyboard_electronic_057-081-075,81
keyboard_acoustic_017-051-025,51
keyboard_electronic_084-049-025,49
keyboard_electronic_015-065-025,65
keyboard_acoustic_013-037-075,37
keyboard_electronic_063-034-025,34
keyboard_electronic_068-087-100,87
keyboard_synthetic_003-035-127,35
keyboard_electronic_056-071-127,71
keyboard_electronic_079-095-025,95
keyboard_electronic_109-055-050,55
keyboard_electronic_068-048-075,48
keyboard_electronic_109-077-075,77
keyboard_electronic_062-029-075,29
keyboard_acoustic_006-059-075,59
keyboard_acoustic_010-048-100,48
keyboard_electronic_020-030-025,30
keyboard_electronic_013-054-050,54
keyboard_electronic_089-065-075,65
keyboard_electronic_013-057-050,57
keyboard_electronic_050-033-100,33
keyboard_electronic_099-064-100,64
keyboard_electronic_104-032-075,32
keyboard_electronic_071-031-050,31
keyboard_electronic_046-107-050,107
keyboard_electronic_052-047-100,47
keyboard_electronic_011-080-075,80
keyboard_electronic_097-083-127,83
keyboard_acoustic_001-046-050,46
keyboard_electronic_093-028-100,28
keyboard_electronic_027-087-075,87
keyboard_electronic_028-048-025,48
keyboard_electronic_048-055-050,55
keyboard_electronic_023-082-100,82
keyboard_acoustic_017-060-025,60
keyboard_electronic_022-062-127,62
keyboard_electronic_033-038-050,38
keyboard_synthetic_006-070-100,70
keyboard_electronic_047-034-127,34
keyboard_electronic_027-046-025,46
keyboard_electronic_075-076-025,76
keyboard_electronic_031-063-025,63
keyboard_electronic_031-042-075,42
keyboard_acoustic_003-050-100,50
keyboard_electronic_036-055-075,55
keyboard_acoustic_007-037-127,37
keyboard_electronic_011-025-025,25
keyboard_electronic_030-064-025,64
keyboard_acoustic_008-091-100,91
keyboard_electronic_080-060-025,60
keyboard_acoustic_002-045-025,45
keyboard_electronic_023-100-025,100
keyboard_electronic_050-071-075,71
keyboard_electronic_038-091-100,91
keyboard_electronic_091-059-050,59
keyboard_synthetic_012-054-100,54
keyboard_electronic_100-031-100,31
keyboard_synthetic_008-078-025,78
keyboard_electronic_031-084-075,84
keyboard_synthetic_001-063-075,63
keyboard_electronic_079-039-100,39
keyboard_electronic_025-030-050,30
keyboard_electronic_044-036-100,36
keyboard_electronic_040-061-025,61
keyboard_electronic_081-031-075,31
keyboard_electronic_000-036-075,36
keyboard_electronic_062-075-127,75
keyboard_electronic_054-046-025,46
keyboard_electronic_080-031-127,31
keyboard_acoustic_019-073-100,73
keyboard_acoustic_006-035-075,35
keyboard_electronic_082-054-075,54
keyboard_synthetic_007-042-127,42
keyboard_acoustic_010-090-050,90
keyboard_electronic_061-037-050,37
keyboard_electronic_090-058-025,58
keyboard_electronic_031-067-075,67
keyboard_electronic_018-022-100,22
keyboard_acoustic_016-093-127,93
keyboard_electronic_041-103-075,103
keyboard_electronic_064-025-075,25
keyboard_electronic_012-022-100,22
keyboard_acoustic_007-081-127,81
keyboard_electronic_010-060-127,60
keyboard_acoustic_016-072-127,72
keyboard_acoustic_006-083-075,83
keyboard_electronic_019-077-127,77
keyboard_electronic_097-037-050,37
keyboard_electronic_007-046-100,46
keyboard_electronic_037-043-075,43
keyboard_electronic_040-021-100,21
keyboard_electronic_005-076-100,76
keyboard_electronic_016-048-025,48
keyboard_synthetic_010-087-127,87
keyboard_electronic_031-029-075,29
keyboard_electronic_024-076-025,76
keyboard_electronic_043-056-100,56
keyboard_electronic_090-079-100,79
keyboard_electronic_102-060-050,60
keyboard_electronic_006-078-100,78
keyboard_electronic_100-034-075,34
keyboard_electronic_008-090-025,90
keyboard_acoustic_010-072-025,72
keyboard_electronic_018-035-075,35
keyboard_electronic_031-030-075,30
keyboard_electronic_093-061-025,61
keyboard_electronic_044-060-075,60
keyboard_electronic_028-103-100,103
keyboard_electronic_058-048-025,48
keyboard_electronic_012-031-100,31
keyboard_electronic_047-084-050,84
keyboard_acoustic_012-066-025,66
keyboard_electronic_105-083-075,83
keyboard_electronic_012-066-050,66
keyboard_electronic_056-055-127,55
keyboard_electronic_030-040-050,40
keyboard_electronic_063-063-025,63
keyboard_electronic_010-029-075,29
keyboard_electronic_042-080-025,80
keyboard_acoustic_006-073-127,73
keyboard_electronic_101-070-127,70
keyboard_electronic_093-079-100,79
keyboard_electronic_091-041-100,41
keyboard_electronic_015-059-100,59
keyboard_electronic_039-061-025,61
keyboard_electronic_006-074-025,74
keyboard_electronic_109-087-100,87
keyboard_electronic_012-048-050,48
keyboard_electronic_023-091-025,91
keyboard_acoustic_013-032-025,32
keyboard_electronic_013-025-127,25
keyboard_electronic_004-067-127,67
keyboard_electronic_004-058-100,58
keyboard_electronic_075-046-025,46
keyboard_acoustic_008-043-127,43
keyboard_electronic_004-056-100,56
keyboard_acoustic_017-046-050,46
keyboard_acoustic_005-027-100,27
keyboard_synthetic_003-069-127,69
keyboard_electronic_082-091-050,91
keyboard_acoustic_017-041-075,41
keyboard_synthetic_009-055-100,55
keyboard_acoustic_018-042-050,42
keyboard_electronic_046-038-100,38
keyboard_electronic_062-065-100,65
keyboard_electronic_048-084-025,84
keyboard_electronic_040-058-075,58
keyboard_synthetic_008-053-025,53
keyboard_electronic_009-093-100,93
keyboard_electronic_081-034-100,34
keyboard_acoustic_011-030-075,30
keyboard_electronic_008-034-025,34
keyboard_electronic_039-047-075,47
keyboard_electronic_044-052-075,52
keyboard_electronic_089-044-075,44
keyboard_acoustic_001-074-075,74
keyboard_electronic_044-076-100,76
keyboard_acoustic_019-031-075,31
keyboard_electronic_032-062-025,62
keyboard_electronic_048-038-127,38
keyboard_electronic_109-031-075,31
keyboard_electronic_046-038-050,38
keyboard_electronic_067-028-075,28
keyboard_electronic_060-054-050,54
keyboard_electronic_043-029-050,29
keyboard_electronic_016-043-127,43
keyboard_electronic_090-063-075,63
keyboard_electronic_048-036-075,36
keyboard_electronic_046-021-050,21
keyboard_electronic_049-050-025,50
keyboard_electronic_009-095-075,95
keyboard_electronic_035-067-050,67
keyboard_electronic_029-070-050,70
keyboard_electronic_107-058-100,58
keyboard_acoustic_016-038-075,38
keyboard_electronic_014-083-127,83
keyboard_electronic_031-046-050,46
keyboard_electronic_067-074-050,74
keyboard_electronic_080-025-100,25
keyboard_electronic_065-029-075,29
keyboard_electronic_014-071-075,71
keyboard_electronic_086-058-127,58
keyboard_acoustic_002-093-075,93
keyboard_acoustic_008-058-075,58
keyboard_electronic_030-025-075,25
keyboard_acoustic_005-039-075,39
keyboard_electronic_108-071-050,71
keyboard_electronic_058-051-127,51
keyboard_electronic_070-076-025,76
keyboard_electronic_029-042-025,42
keyboard_electronic_026-045-100,45
keyboard_electronic_073-038-050,38
keyboard_acoustic_017-069-100,69
keyboard_electronic_047-082-100,82
keyboard_electronic_083-034-100,34
keyboard_electronic_081-043-025,43
keyboard_electronic_102-037-025,37
keyboard_electronic_023-067-100,67
keyboard_electronic_072-060-075,60
keyboard_acoustic_011-050-050,50
keyboard_electronic_093-050-100,50
keyboard_electronic_055-031-025,31
keyboard_electronic_062-025-100,25
keyboard_acoustic_011-057-025,57
keyboard_electronic_105-088-127,88
keyboard_electronic_032-058-100,58
keyboard_electronic_004-027-127,27
keyboard_acoustic_005-053-050,53
keyboard_electronic_058-053-127,53
keyboard_electronic_099-069-025,69
keyboard_acoustic_013-037-127,37
keyboard_electronic_080-021-100,21
keyboard_acoustic_007-034-075,34
keyboard_electronic_052-080-050,80
keyboard_electronic_052-038-100,38
keyboard_electronic_080-057-100,57
keyboard_electronic_000-030-100,30
keyboard_electronic_097-088-127,88
keyboard_electronic_038-107-075,107
keyboard_electronic_075-032-050,32
keyboard_acoustic_009-061-025,61
keyboard_electronic_099-062-075,62
keyboard_electronic_089-052-075,52
keyboard_electronic_046-033-075,33
keyboard_electronic_054-039-100,39
keyboard_electronic_091-044-100,44
keyboard_electronic_062-088-025,88
keyboard_electronic_067-032-050,32
keyboard_electronic_030-067-050,67
keyboard_synthetic_010-036-100,36
keyboard_electronic_019-057-050,57
keyboard_electronic_049-061-100,61
keyboard_electronic_104-068-075,68
keyboard_electronic_018-088-127,88
keyboard_electronic_099-081-075,81
keyboard_electronic_072-080-050,80
keyboard_electronic_012-067-050,67
keyboard_electronic_028-054-127,54
keyboard_electronic_054-036-050,36
keyboard_electronic_039-050-025,50
keyboard_electronic_034-070-127,70
keyboard_synthetic_010-038-100,38
keyboard_electronic_058-064-025,64
keyboard_synthetic_003-095-075,95
keyboard_electronic_109-087-025,87
keyboard_electronic_097-057-050,57
keyboard_acoustic_013-056-025,56
keyboard_electronic_015-073-050,73
keyboard_electronic_034-060-075,60
keyboard_electronic_057-056-025,56
keyboard_electronic_105-059-127,59
keyboard_electronic_031-064-050,64
keyboard_synthetic_009-074-127,74
keyboard_electronic_006-052-075,52
keyboard_acoustic_016-067-050,67
keyboard_acoustic_008-060-025,60
keyboard_acoustic_013-033-050,33
keyboard_acoustic_003-057-025,57
keyboard_electronic_013-046-050,46
keyboard_electronic_019-030-127,30
keyboard_electronic_022-081-050,81
keyboard_electronic_007-038-075,38
keyboard_electronic_032-081-025,81
keyboard_acoustic_014-067-075,67
keyboard_electronic_007-042-100,42
keyboard_electronic_052-036-075,36
keyboard_electronic_064-042-025,42
keyboard_electronic_038-032-127,32
keyboard_electronic_013-100-075,100
keyboard_electronic_030-045-025,45
keyboard_acoustic_009-062-075,62
keyboard_electronic_071-054-100,54
keyboard_acoustic_008-093-050,93
keyboard_electronic_080-060-100,60
keyboard_electronic_031-056-025,56
keyboard_electronic_080-051-050,51
keyboard_electronic_052-076-025,76
keyboard_electronic_072-051-127,51
keyboard_acoustic_019-080-100,80
keyboard_acoustic_005-068-050,68
keyboard_electronic_064-072-075,72
keyboard_electronic_038-072-127,72
keyboard_electronic_050-068-075,68
keyboard_electronic_043-057-025,57
keyboard_electronic_065-071-075,71
keyboard_synthetic_006-090-050,90
keyboard_electronic_023-047-127,47
keyboard_synthetic_006-064-025,64
keyboard_electronic_013-034-025,34
keyboard_electronic_049-082-025,82
keyboard_electronic_049-054-127,54
keyboard_electronic_107-063-127,63
keyboard_electronic_041-061-025,61
keyboard_electronic_074-064-025,64
keyboard_electronic_090-022-075,22
keyboard_electronic_046-076-050,76
keyboard_acoustic_019-024-127,24
keyboard_electronic_023-046-050,46
keyboard_electronic_052-077-100,77
keyboard_electronic_088-052-075,52
keyboard_electronic_034-046-025,46
keyboard_electronic_048-077-025,77
keyboard_electronic_079-039-025,39
keyboard_electronic_025-051-127,51
keyboard_electronic_020-082-100,82
keyboard_electronic_028-040-075,40
keyboard_electronic_018-026-127,26
keyboard_electronic_058-057-050,57
keyboard_electronic_057-103-025,103
keyboard_electronic_067-083-075,83
keyboard_electronic_007-049-127,49
keyboard_electronic_044-084-075,84
keyboard_electronic_054-033-127,33
keyboard_electronic_057-025-050,25
keyboard_electronic_083-047-050,47
keyboard_acoustic_007-084-025,84
keyboard_electronic_055-055-050,55
keyboard_electronic_015-051-025,51
keyboard_acoustic_000-025-100,25
keyboard_electronic_043-087-127,87
keyboard_electronic_104-084-050,84
keyboard_electronic_075-066-050,66
keyboard_electronic_091-045-025,45
keyboard_electronic_017-048-127,48
